date,Country/Territory/Area,Total confirmed cases,Total deaths,Transmission classification,Days since last reported case,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Likely place of exposure: China,Likely place of exposure: Outside reporting country and outside China,Likely place of exposure: In reporting country,Total cases with site of transmission under investigation
2020/02/08,Canada,7,0,,,6,0,,,,1
2020/02/08,Germany,14,0,,,3,11,,,,0
2020/02/08,France,6,0,,,5,1,,,,0
2020/02/08,Italy,3,0,,,3,0,,,,0
2020/02/08,The United Kingdom,3,0,,,1,2,,,,0
2020/02/08,Russian Federation,2,0,,,2,0,,,,0
2020/02/08,Belgium,1,0,,,1,0,,,,0
2020/02/08,Finland,1,0,,,1,0,,,,0
2020/02/08,Spain,1,0,,,0,1,,,,0
2020/02/08,Sweden,1,0,,,1,0,,,,0
2020/02/08,United Arab Emirates,7,0,,,5,0,,,,2
2020/02/08,International conveyance (Diamond Princess),64,0,,,0,0,,,,64
2020/02/09,Singapore,40,0,,,21,19,,,,0
2020/02/09,Republic of Korea,27,0,,,13,12,,,,2
2020/02/09,Japan,26,0,,,22,4,,,,0
2020/02/09,Malaysia,17,0,,,9,4,,,,4
2020/02/09,Australia,15,0,,,15,0,,,,0
2020/02/09,Viet Nam,14,0,,,8,6,,,,0
2020/02/09,Philippines,3,1,,,2,0,,,,1
2020/02/09,Cambodia,1,0,,,1,0,,,,0
2020/02/09,Thailand,32,0,,,22,6,,,,4
2020/02/09,India,3,0,,,3,0,,,,0
2020/02/09,Nepal,1,0,,,1,0,,,,0
2020/02/09,Sri Lanka,1,0,,,1,0,,,,0
2020/02/09,United States of America,12,0,,,10,2,,,,0
2020/02/09,Canada,7,0,,,6,0,,,,1
2020/02/09,Germany,14,0,,,2,12,,,,0
2020/02/09,France,11,0,,,5,6,,,,0
2020/02/09,Italy,3,0,,,3,0,,,,0
2020/02/09,The United Kingdom,3,0,,,1,2,,,,0
2020/02/09,Russian Federation,2,0,,,2,0,,,,0
2020/02/09,Belgium,1,0,,,1,0,,,,0
2020/02/09,Finland,1,0,,,1,0,,,,0
2020/02/09,Spain,1,0,,,0,1,,,,0
2020/02/09,Sweden,1,0,,,1,0,,,,0
2020/02/09,United Arab Emirates,7,0,,,5,1,,,,1
2020/02/09,International conveyance (Diamond Princess),64,0,,,0,0,,,,64
2020/02/10,Singapore,43,0,,,21,22,,,,0
2020/02/10,Republic of Korea,27,0,,,13,12,,,,2
2020/02/10,Japan,26,0,,,22,4,,,,0
2020/02/10,Malaysia,18,0,,,10,4,,,,4
2020/02/10,Australia,15,0,,,15,0,,,,0
2020/02/10,Viet Nam,14,0,,,8,6,,,,0
2020/02/10,Philippines,3,1,,,2,0,,,,1
2020/02/10,Cambodia,1,0,,,1,0,,,,0
2020/02/10,Thailand,32,0,,,22,6,,,,4
2020/02/10,India,3,0,,,3,0,,,,0
2020/02/10,Nepal,1,0,,,1,0,,,,0
2020/02/10,Sri Lanka,1,0,,,1,0,,,,0
2020/02/10,United States of America,12,0,,,10,2,,,,0
2020/02/10,Canada,7,0,,,6,0,,,,1
2020/02/10,Germany,14,0,,,2,12,,,,0
2020/02/10,France,11,0,,,5,6,,,,0
2020/02/10,The United Kingdom,4,0,,,1,3,,,,0
2020/02/10,Italy,3,0,,,3,0,,,,0
2020/02/10,Russian Federation,2,0,,,2,0,,,,0
2020/02/10,Spain,2,0,,,0,2,,,,0
2020/02/10,Belgium,1,0,,,1,0,,,,0
2020/02/10,Finland,1,0,,,1,0,,,,0
2020/02/10,Sweden,1,0,,,1,0,,,,0
2020/02/10,United Arab Emirates,7,0,,,6,1,,,,0
2020/02/10,International conveyance (Diamond Princess),70,0,,,0,0,,,,70
2020/02/11,Singapore,45,0,,,22,23,,,,0
2020/02/11,Republic of Korea,28,0,,,13,12,,,,3
2020/02/11,Japan,26,0,,,22,4,,,,0
2020/02/11,Malaysia,18,0,,,15,3,,,,0
2020/02/11,Australia,15,0,,,15,0,,,,0
2020/02/11,Viet Nam,15,0,,,8,6,,,,1
2020/02/11,Philippines,3,1,,,2,0,,,,1
2020/02/11,Cambodia,1,0,,,1,0,,,,0
2020/02/11,Thailand,33,0,,,23,6,,,,4
2020/02/11,India,3,0,,,3,0,,,,0
2020/02/11,Nepal,1,0,,,1,0,,,,0
2020/02/11,Sri Lanka,1,0,,,1,0,,,,0
2020/02/11,United States of America,13,0,,,11,2,,,,0
2020/02/11,Canada,7,0,,,6,0,,,,1
2020/02/11,Germany,14,0,,,2,12,,,,0
2020/02/11,France,11,0,,,5,6,,,,0
2020/02/11,The United Kingdom,8,0,,,1,7,,,,0
2020/02/11,Italy,3,0,,,3,0,,,,0
2020/02/11,Russian Federation,2,0,,,2,0,,,,0
2020/02/11,Spain,2,0,,,0,2,,,,0
2020/02/11,Belgium,1,0,,,1,0,,,,0
2020/02/11,Finland,1,0,,,1,0,,,,0
2020/02/11,Sweden,1,0,,,1,0,,,,0
2020/02/11,United Arab Emirates,8,0,,,6,1,,,,1
2020/02/11,International conveyance (Diamond Princess),135,0,,,0,0,,,,135
2020/02/12,Singapore,47,0,,,22,25,,,,0
2020/02/12,Japan,28,0,,,24,4,,,,0
2020/02/12,Republic of Korea,28,0,,,13,12,,,,3
2020/02/12,Malaysia,18,0,,,15,3,,,,0
2020/02/12,Australia,15,0,,,15,0,,,,0
2020/02/12,Viet Nam,15,0,,,8,7,,,,0
2020/02/12,Philippines,3,1,,,2,0,,,,1
2020/02/12,Cambodia,1,0,,,1,0,,,,0
2020/02/12,Thailand,33,0,,,23,6,,,,4
2020/02/12,India,3,0,,,3,0,,,,0
2020/02/12,Nepal,1,0,,,1,0,,,,0
2020/02/12,Sri Lanka,1,0,,,1,0,,,,0
2020/02/12,United States of America,13,0,,,11,2,,,,0
2020/02/12,Canada,7,0,,,6,0,,,,1
2020/02/12,Germany,16,0,,,2,14,,,,0
2020/02/12,France,11,0,,,5,6,,,,0
2020/02/12,The United Kingdom,8,0,,,1,7,,,,0
2020/02/12,Italy,3,0,,,3,0,,,,0
2020/02/12,Russian Federation,2,0,,,2,0,,,,0
2020/02/12,Spain,2,0,,,0,2,,,,0
2020/02/12,Belgium,1,0,,,1,0,,,,0
2020/02/12,Finland,1,0,,,1,0,,,,0
2020/02/12,Sweden,1,0,,,1,0,,,,0
2020/02/12,United Arab Emirates,8,0,,,6,1,,,,1
